Molecule: ./Results/normal_sim_a1.txt 
Step: ['add'], Previous ligand: c1ccccc1, Changed ligand: Pc1ccccc1, New ligand: Pc1ccccc1 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)cc1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=NS, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['change type'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCOCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['remove ring'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: CCC(CC(C)C(CC)CC(O)CCCOCN)PS, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: Cc1cc(N=PS)c(C)c(C)c1CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['switch'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(OC)c1=CC(=O)CCCOC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N 
Step: ['move_junction'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CC(=O)CCCOC=N, Changed ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N, New ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N 
Step: ['add'], Previous ligand: C=c1cc(PS)c(C)c(C)c1=CCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC(=N)S, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N 
Step: ['switch'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CC(CCC)CC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N 
Step: ['change type'], Previous ligand: C=C(C=c1c(C)c(C)c(PS)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N 
Step: ['turn ring aromatic'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=C1C(=C)CC(PN)C(C)C1C)CCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N 
Step: ['add'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)C(C)CCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N 
Step: ['switch'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)CCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['change type'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NNCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['remove'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['change type'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=C1C(=C)C=S(PN)C(C)=C1C)NCCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['form new ring'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=c1cc(PN)c(C)c2c1=CC(NCCCC(=O)OC=N)=CC2, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['remove'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['turn ring aromatic'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=C1C(=C)CC(PN)C(C)C1C)NCCCC(=O)OC=N, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['remove'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)ON, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N 
Step: ['switch'], Previous ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OC=N, Changed ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN, New ligand: C=C(C=c1c(C)c(C)c(PN)cc1=C)NCCCC(=O)OCCN 
