Molecule: ./Results/normal_sim_a2.txt 
Step: ['move_junction'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C(CCSS[SH]=N)=CC=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSS[SH]=NN)=CC1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSS[SH]=N)=C(S)C1, New ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1 
Step: ['remove'], Previous ligand: CC1=C(F)C=CC(CCSS[SH]=N)=CC1, Changed ligand: CC1=C(F)C=CC(CCSSS)=CC1, New ligand: CC1=C(F)C=CC(CCSSS)=CC1 
Step: ['switch'], Previous ligand: CC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: CC1=C(F)C=CC(CCCSSS)=CC1, New ligand: CC1=C(F)C=CC(CCSSS)=CC1 
Step: ['add'], Previous ligand: CC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: CCC1=C(F)C=CC(CCSSS)=CC1, New ligand: CCC1=C(F)C=CC(CCSSS)=CC1 
Step: ['change type'], Previous ligand: CCC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: CCC1=C(O)C=CC(CCSSS)=CC1, New ligand: CCC1=C(F)C=CC(CCSSS)=CC1 
Step: ['move_junction'], Previous ligand: CCC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: FCCC1=CC=CC(CCSSS)=CC1, New ligand: CCC1=C(F)C=CC(CCSSS)=CC1 
Step: ['remove'], Previous ligand: CCC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: CC1=C(F)C=CC(CCSSS)=CC1, New ligand: CC1=C(F)C=CC(CCSSS)=CC1 
Step: ['change bond type'], Previous ligand: CC1=C(F)C=CC(CCSSS)=CC1, Changed ligand: CC1=C(F)C=CC(C=CSSS)=CC1, New ligand: CC1=C(F)C=CC(C=CSSS)=CC1 
