Molecule: ./Results/1di9 
Step: remove fragment, Previous ligand: [14*]c1ncnc2cc([16*])c([16*])cc12, New ligand: [14*]c1ncnc2cc([16*])c([16*])cc12, Score: 0.27161073825503357 
Step: add fragment, Previous ligand: [14*]c1ncnc2cc([16*])c([16*])cc12, New ligand: [14*]c1ncnc2cc(OC)c([16*])cc12, Score: 0.3886492303373415 
Step: add fragment, Previous ligand: [14*]c1ncnc2cc(OC)c([16*])cc12, New ligand: [5*]Nc1cc2c([14*])ncnc2cc1OC, Score: 0.4023906475765138 
Step: remove fragment, Previous ligand: [5*]Nc1cc2c([14*])ncnc2cc1OC, New ligand: [5*]Nc1cc2c([14*])ncnc2cc1OC, Score: 0.4023906475765138 
Step: remove fragment, Previous ligand: [5*]Nc1cc2c([14*])ncnc2cc1OC, New ligand: [3*]OC, Score: 0.0046511627906976735 
Step: add fragment, Previous ligand: [3*]OC, New ligand: [16*]c1cc2ncnc(OC)c2cc1[16*], Score: 0.3797903605015674 
Step: add fragment, Previous ligand: [16*]c1cc2ncnc(OC)c2cc1[16*], New ligand: [16*]c1cc2ncnc(OC)c2cc1SC, Score: 0.4661105493764745 
Step: add fragment, Previous ligand: [16*]c1cc2ncnc(OC)c2cc1SC, New ligand: COc1cc2ncnc(OC)c2cc1SC, Score: 0.5127742325265264 
Step: remove fragment, Previous ligand: COc1cc2ncnc(OC)c2cc1SC, New ligand: COc1cc2ncnc(OC)c2cc1SC, Score: 0.5127742325265264 
Step: remove fragment, Previous ligand: COc1cc2ncnc(OC)c2cc1SC, New ligand: [16*]c1cc2ncnc(OC)c2cc1SC, Score: 0.4661105493764745 
Step: add fragment, Previous ligand: [16*]c1cc2ncnc(OC)c2cc1SC, New ligand: COc1cc2ncnc(OC)c2cc1SC, Score: 0.5127742325265264 
Step: remove fragment, Previous ligand: COc1cc2ncnc(OC)c2cc1SC, New ligand: COc1cc2ncnc(OC)c2cc1SC, Score: 0.5127742325265264 
Step: remove fragment, Previous ligand: COc1cc2ncnc(OC)c2cc1SC, New ligand: COc1cc2ncnc(OC)c2cc1SC, Score: 0.5127742325265264 
