Molecule: ./Results/4lzs_n2 
Step: remove fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c(C(C)=O)c1C(C)=O, New ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.46824074074074074 
Step: add fragment, Previous ligand: [1*]C(=O)c1[nH]c(C)c([16*])c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1C(C)=O, Score: 0.689157319528329 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(C(=O)NC)c1C(C)=O, New ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, Score: 0.3040851063829787 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c([16*])c1C(C)=O, New ligand: [14*]c1[nH]c(C)c(NC)c1C(C)=O, Score: 0.5169444444444444 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: [16*]c1c(CC)[nH]c(C)c1NC, Score: 0.4383076923076923 
Step: add fragment, Previous ligand: [16*]c1c(CC)[nH]c(C)c1NC, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(CC)c1C(C)=O, Score: 0.5422727272727274 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, Score: 0.7309214245336348 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(CC)c1C(C)=O, Score: 0.5422727272727274 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(CC)c1C(C)=O, New ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2C(C)=O)c1[16*], Score: 0.5960218665612855 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2c(C)[nH]c(CC)c2C(C)=O)c1[16*], New ligand: [16*]c1c(-c2c(C)[nH]c(CC)c2C(C)=O)[nH]c(C)c1NC, Score: 0.6080791693705386 
Step: remove fragment, Previous ligand: [16*]c1c(-c2c(C)[nH]c(CC)c2C(C)=O)[nH]c(C)c1NC, New ligand: [14*]c1[nH]c(C)c(-c2[nH]c(C)c(NC)c2[16*])c1C(C)=O, Score: 0.5559776970954357 
