Molecule: ./Results/6fnx_n10 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
Step: remove fragment, Previous ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: 0.7826999076638966 
