Molecule: ./p38/3gc7 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc([16*])cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, New ligand: [5*][N@H+]1CC[C@@H](c2cc([16*])cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, Score: tensor([0.8676]) 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc([16*])cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, New ligand: [5*][N@H+]1CC[C@@H](c2cc([N@H+]3CC[C@H]([15*])CC3)cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, Score: tensor([0.8247]) 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc([N@H+]3CC[C@H]([15*])CC3)cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, New ligand: [5*][N@H+]1CC[C@@H](c2cc([N@H+]3CC[C@H]([15*])CC3)cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, Score: tensor([0.8247]) 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](c2cc([N@H+]3CC[C@H]([15*])CC3)cc3c2cnc(=O)n3[C@H]2CC[N@@H+](C(C)C)CC2)CC1, New ligand: [15*][C@H]1CC[N@H+](c2cc3c(cnc(=O)n3[C@H]3CC[N@@H+](C(C)C)CC3)c([C@H]3CC[N@@H+](c4ccc(F)cc4Cl)CC3)c2)CC1, Score: tensor([0.7829]) 
Step: add fragment, Previous ligand: [15*][C@H]1CC[N@H+](c2cc3c(cnc(=O)n3[C@H]3CC[N@@H+](C(C)C)CC3)c([C@H]3CC[N@@H+](c4ccc(F)cc4Cl)CC3)c2)CC1, New ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, Score: tensor([0.7849]) 
Step: add fragment, Previous ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, New ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, Score: tensor([0.7849]) 
Step: remove fragment, Previous ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, New ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, Score: tensor([0.7849]) 
Step: add fragment, Previous ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, New ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, Score: tensor([0.7849]) 
Step: remove fragment, Previous ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, New ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, Score: tensor([0.7849]) 
Step: add fragment, Previous ligand: [15*][C@H]1CC[N@H+]([C@H]2CC[N@@H+](c3cc4c(cnc(=O)n4[C@H]4CC[N@@H+](C(C)C)CC4)c([C@H]4CC[N@@H+](c5ccc(F)cc5Cl)CC4)c3)CC2)CC1, New ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, Score: tensor([0.7379]) 
Step: remove fragment, Previous ligand: CC(C)[N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, New ligand: [5*][N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, Score: tensor([0.7478]) 
Step: add fragment, Previous ligand: [5*][N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, New ligand: [5*][N@H+]1CC[C@@H](n2c(=O)ncc3c2cc([N@H+]2CC[C@@H]([N@H+]4CC[C@@H](c5c(Cl)cccc5Cl)CC4)CC2)cc3[C@H]2CC[N@@H+](c3ccc(F)cc3Cl)CC2)CC1, Score: tensor([0.7478]) 
