Molecule: ./p38/3hv5 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.3957]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc(-c2cccc([16*])c2)c1, Score: tensor([0.4261]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2cccc([16*])c2)c1, New ligand: [16*]c1cccc([16*])c1, Score: tensor([0.3956]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.6923]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cccc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)c3)c2c1, Score: tensor([0.6129]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cccc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)c3)c2c1, New ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.6998]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [9*]n1nc([14*])cc1-c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.7869]) 
Step: add fragment, Previous ligand: [9*]n1nc([14*])cc1-c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [9*]n1nc(-c2ccc(C)cc2)cc1-c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, Score: tensor([0.6738]) 
Step: add fragment, Previous ligand: [9*]n1nc(-c2ccc(C)cc2)cc1-c1cccc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)c1, New ligand: [9*]n1nc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1[14*], Score: tensor([0.6770]) 
Step: add fragment, Previous ligand: [9*]n1nc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)cc1[14*], New ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.6148]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc([16*])c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7419]) 
Step: add fragment, Previous ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc([16*])c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.6129]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-n2nc(-c3ccc(C)cc3)cc2-c2cccc(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)c2)nn1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [14*]c1cc(-c2ccc(C)cc2)nn1-c1cc([14*])n(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)n1, Score: tensor([0.6511]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2ccc(C)cc2)nn1-c1cc([14*])n(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)n1, New ligand: [9*]n1nc(-c2cc(-n3nc(-c4ccc(C)cc4)cc3[14*])nn2-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)cc1[14*], Score: tensor([0.7907]) 
