Molecule: ./p38/6ohd 
Step: remove fragment, Previous ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, New ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, Score: tensor([0.8190]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, New ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, Score: tensor([0.8190]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, New ligand: [16*]c1cc(-c2cc(-c3cnc4c(c3)[nH]c(=O)n4-c3cc(-c4ccon4)ccc3C)ccc2C)ccc1C, Score: tensor([0.7684]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2cc(-c3cnc4c(c3)[nH]c(=O)n4-c3cc(-c4ccon4)ccc3C)ccc2C)ccc1C, New ligand: [16*]c1cc(-c2cc(-c3cnc4c(c3)[nH]c(=O)n4-c3cc(-c4ccon4)ccc3C)ccc2C)ccc1C, Score: tensor([0.7684]) 
Step: remove fragment, Previous ligand: [16*]c1cc(-c2cc(-c3cnc4c(c3)[nH]c(=O)n4-c3cc(-c4ccon4)ccc3C)ccc2C)ccc1C, New ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.7857]) 
Step: add fragment, Previous ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8226]) 
Step: remove fragment, Previous ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8226]) 
Step: remove fragment, Previous ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8226]) 
Step: remove fragment, Previous ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8226]) 
Step: add fragment, Previous ligand: [1*]C(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [5*]NC(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.7923]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.7874]) 
Step: add fragment, Previous ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8080]) 
Step: add fragment, Previous ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.8080]) 
Step: add fragment, Previous ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: Cc1ccc(-c2ccon2)cc1-n1c(=O)[nH]c2cc(-n3c(=O)[nH]c4cc(-c5ccon5)cnc43)cnc21, Score: tensor([0.7451]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2ccon2)cc1-n1c(=O)[nH]c2cc(-n3c(=O)[nH]c4cc(-c5ccon5)cnc43)cnc21, New ligand: Cc1ccc(-c2ccon2)cc1-n1c(=O)[nH]c2cc(-n3c(=O)[nH]c4cc(-c5ccon5)cnc43)cnc21, Score: tensor([0.7451]) 
Step: remove fragment, Previous ligand: Cc1ccc(-c2ccon2)cc1-n1c(=O)[nH]c2cc(-n3c(=O)[nH]c4cc(-c5ccon5)cnc43)cnc21, New ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, Score: tensor([0.7877]) 
Step: add fragment, Previous ligand: [16*]c1cnc2c(c1)[nH]c(=O)n2-c1cc(-c2ccon2)ccc1C, New ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, Score: tensor([0.8176]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)ccc1C, New ligand: Cc1ccc(-c2cnc3c(c2)[nH]c(=O)n3-c2cc(-c3ccon3)ccc2C)cc1-c1ccon1, Score: tensor([0.8091]) 
