Molecule: ./Serine/specific_frags_1.txt 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4731]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [14*]c1n[nH]c2cc(N3CCC[C@@H]([NH3+])C3)ccc12, Score: tensor([0.7147]) 
Step: add fragment, Previous ligand: [14*]c1n[nH]c2cc(N3CCC[C@@H]([NH3+])C3)ccc12, New ligand: [NH3+][C@@H]1CCCN(c2ccc3c(N4CC[C@@H]([NH3+])[C@H](F)CC4)n[nH]c3c2)C1, Score: tensor([0.7325]) 
Step: remove fragment, Previous ligand: [NH3+][C@@H]1CCCN(c2ccc3c(N4CC[C@@H]([NH3+])[C@H](F)CC4)n[nH]c3c2)C1, New ligand: [14*]c1n[nH]c2cc(N3CCC[C@@H]([NH3+])C3)ccc12, Score: tensor([0.7148]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH]c2cc(N3CCC[C@@H]([NH3+])C3)ccc12, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4742]) 
Step: remove fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4742]) 
Step: remove fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4742]) 
Step: remove fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4742]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [9*]n1ncc2cnc(N3CCC[C@@H]([NH3+])C3)cc21, Score: tensor([0.8060]) 
Step: add fragment, Previous ligand: [9*]n1ncc2cnc(N3CCC[C@@H]([NH3+])C3)cc21, New ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8575]) 
Step: add fragment, Previous ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: [14*]c1cc(O)n2ncc(-c3cnn4c(O)cc(-n5ncc6cnc(N7CCC[C@@H]([NH3+])C7)cc65)nc34)c2n1, Score: tensor([0.8538]) 
Step: add fragment, Previous ligand: [14*]c1cc(O)n2ncc(-c3cnn4c(O)cc(-n5ncc6cnc(N7CCC[C@@H]([NH3+])C7)cc65)nc34)c2n1, New ligand: [NH3+][C@@H]1CCCN(c2cc3c(cn2)cnn3-c2cc(O)n3ncc(-c4cnn5c(O)cc(-c6ccc(O)c(O)c6)nc45)c3n2)C1, Score: tensor([0.7684]) 
Step: remove fragment, Previous ligand: [NH3+][C@@H]1CCCN(c2cc3c(cn2)cnn3-c2cc(O)n3ncc(-c4cnn5c(O)cc(-c6ccc(O)c(O)c6)nc45)c3n2)C1, New ligand: [NH3+][C@@H]1CCCN(c2cc3c(cn2)cnn3-c2cc(O)n3ncc(-c4cnn5c(O)cc(-c6ccc(O)c(O)c6)nc45)c3n2)C1, Score: tensor([0.7684]) 
Step: remove fragment, Previous ligand: [NH3+][C@@H]1CCCN(c2cc3c(cn2)cnn3-c2cc(O)n3ncc(-c4cnn5c(O)cc(-c6ccc(O)c(O)c6)nc45)c3n2)C1, New ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, Score: tensor([0.8576]) 
Step: remove fragment, Previous ligand: [16*]c1cnn2c(O)cc(-n3ncc4cnc(N5CCC[C@@H]([NH3+])C5)cc43)nc12, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4733]) 
Step: remove fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: [5*]N1CCC[C@@H]([NH3+])C1, Score: tensor([0.4733]) 
Step: add fragment, Previous ligand: [5*]N1CCC[C@@H]([NH3+])C1, New ligand: Cc1cc(N2CCC[C@@H]([NH3+])C2)cc(N)n1, Score: tensor([0.5109]) 
Step: remove fragment, Previous ligand: Cc1cc(N2CCC[C@@H]([NH3+])C2)cc(N)n1, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4787]) 
Step: remove fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4787]) 
Step: remove fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4787]) 
Step: add fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: Cc1cc(NC2=[NH+][C@H]3C(c4cn[nH]c4)=CNN3C=C2)cc(N)n1, Score: tensor([0.8227]) 
Step: remove fragment, Previous ligand: Cc1cc(NC2=[NH+][C@H]3C(c4cn[nH]c4)=CNN3C=C2)cc(N)n1, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4777]) 
Step: add fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: [14*]c1cc(Cl)c2cc(-c3cc(C)nc(N)c3)n(C)c2n1, Score: tensor([0.7932]) 
Step: add fragment, Previous ligand: [14*]c1cc(Cl)c2cc(-c3cc(C)nc(N)c3)n(C)c2n1, New ligand: [14*]c1nc(-c2cc(Cl)c3cc(-c4cc(C)nc(N)c4)n(C)c3n2)ccc1N, Score: tensor([0.7800]) 
Step: remove fragment, Previous ligand: [14*]c1nc(-c2cc(Cl)c3cc(-c4cc(C)nc(N)c4)n(C)c3n2)ccc1N, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4785]) 
Step: remove fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: [16*]c1cc(C)nc(N)c1, Score: tensor([0.4785]) 
Step: add fragment, Previous ligand: [16*]c1cc(C)nc(N)c1, New ligand: [16*]c1ccncc1-c1cc(C)nc(N)c1, Score: tensor([0.6608]) 
Step: add fragment, Previous ligand: [16*]c1ccncc1-c1cc(C)nc(N)c1, New ligand: [8*]Cc1ccncc1-c1cc(C)nc(N)c1, Score: tensor([0.6916]) 
