Molecule: ./Serine/specific_frags_2.txt 
Step: add fragment, Previous ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, New ligand: [NH3+][C@@H]1CCN(c2cnc3[nH]cc(-c4cccnc4)c3c2)CC[C@H]1F, Score: tensor([0.8385]) 
Step: remove fragment, Previous ligand: [NH3+][C@@H]1CCN(c2cnc3[nH]cc(-c4cccnc4)c3c2)CC[C@H]1F, New ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, Score: tensor([0.8300]) 
Step: remove fragment, Previous ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, New ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, Score: tensor([0.8300]) 
Step: add fragment, Previous ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, New ligand: Cc1cncc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)n1, Score: tensor([0.8420]) 
Step: remove fragment, Previous ligand: Cc1cncc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)n1, New ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, Score: tensor([0.8298]) 
Step: add fragment, Previous ligand: [16*]c1cnc2[nH]cc(-c3cccnc3)c2c1, New ligand: [7*]C1SC(Nc2cnc3[nH]cc(-c4cccnc4)c3c2)=NC1=O, Score: tensor([0.8406]) 
Step: add fragment, Previous ligand: [7*]C1SC(Nc2cnc3[nH]cc(-c4cccnc4)c3c2)=NC1=O, New ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, Score: tensor([0.8224]) 
Step: remove fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, New ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, Score: tensor([0.8224]) 
Step: add fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, New ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, Score: tensor([0.8224]) 
Step: remove fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, New ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, Score: tensor([0.8224]) 
Step: remove fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, New ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, Score: tensor([0.8224]) 
Step: add fragment, Previous ligand: [5*]NC1=NC(=O)C(=C2SC(Nc3cnc4[nH]cc(-c5cccnc5)c4c3)=NC2=O)S1, New ligand: Cc1cc(NC2=NC(=O)C(=C3SC(Nc4cnc5[nH]cc(-c6cccnc6)c5c4)=NC3=O)S2)cc(N)n1, Score: tensor([0.7964]) 
Step: remove fragment, Previous ligand: Cc1cc(NC2=NC(=O)C(=C3SC(Nc4cnc5[nH]cc(-c6cccnc6)c5c4)=NC3=O)S2)cc(N)n1, New ligand: [7*]C1SC(Nc2cnc3[nH]cc(-c4cccnc4)c3c2)=NC1=O, Score: tensor([0.8400]) 
