Molecule: ./Serine/specific_frags_0.txt 
Step: remove fragment, Previous ligand: C[C@H]1CN(c2n[nH]c3cc(-c4n[nH+]c(N)s4)ccc23)C[C@@H]([NH3+])[C@@H]1O, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7905]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7905]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: C[C@H]1CN(c2n[nH]c3cc(-c4cc(Cl)ccc4O)ccc23)C[C@@H]([NH3+])[C@@H]1O, Score: tensor([0.7811]) 
Step: remove fragment, Previous ligand: C[C@H]1CN(c2n[nH]c3cc(-c4cc(Cl)ccc4O)ccc23)C[C@@H]([NH3+])[C@@H]1O, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7966]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [3*]Oc1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7282]) 
Step: remove fragment, Previous ligand: [3*]Oc1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, Score: tensor([0.7976]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(N3C[C@@H]([NH3+])[C@H](O)[C@@H](C)C3)n[nH]c2c1, New ligand: [9*]n1c([14*])[nH+]c2c(-c3ccc4c(N5C[C@@H]([NH3+])[C@H](O)[C@@H](C)C5)n[nH]c4c3)cccc2c1=O, Score: tensor([0.7341]) 
Step: add fragment, Previous ligand: [9*]n1c([14*])[nH+]c2c(-c3ccc4c(N5C[C@@H]([NH3+])[C@H](O)[C@@H](C)C5)n[nH]c4c3)cccc2c1=O, New ligand: [14*]c1[nH+]c2c(-c3ccc4c(N5C[C@@H]([NH3+])[C@H](O)[C@@H](C)C5)n[nH]c4c3)cccc2c(=O)n1-c1cc[nH]n1, Score: tensor([0.7319]) 
Step: add fragment, Previous ligand: [14*]c1[nH+]c2c(-c3ccc4c(N5C[C@@H]([NH3+])[C@H](O)[C@@H](C)C5)n[nH]c4c3)cccc2c(=O)n1-c1cc[nH]n1, New ligand: [14*]c1n[nH]c2cnc(-c3[nH+]c4c(-c5ccc6c(N7C[C@@H]([NH3+])[C@H](O)[C@@H](C)C7)n[nH]c6c5)cccc4c(=O)n3-c3cc[nH]n3)cc12, Score: tensor([0.7644]) 
Step: add fragment, Previous ligand: [14*]c1n[nH]c2cnc(-c3[nH+]c4c(-c5ccc6c(N7C[C@@H]([NH3+])[C@H](O)[C@@H](C)C7)n[nH]c6c5)cccc4c(=O)n3-c3cc[nH]n3)cc12, New ligand: [14*]c1nc(-c2n[nH]c3cnc(-c4[nH+]c5c(-c6ccc7c(N8C[C@@H]([NH3+])[C@H](O)[C@@H](C)C8)n[nH]c7c6)cccc5c(=O)n4-c4cc[nH]n4)cc23)c(N)s1, Score: tensor([0.7964]) 
Step: add fragment, Previous ligand: [14*]c1nc(-c2n[nH]c3cnc(-c4[nH+]c5c(-c6ccc7c(N8C[C@@H]([NH3+])[C@H](O)[C@@H](C)C8)n[nH]c7c6)cccc5c(=O)n4-c4cc[nH]n4)cc23)c(N)s1, New ligand: C[C@H]1CN(c2n[nH]c3cc(-c4cccc5c(=O)n(-c6cc[nH]n6)c(-c6cc7c(-c8nc(-c9cnc%10ccccc%10c9)sc8N)n[nH]c7cn6)[nH+]c45)ccc23)C[C@@H]([NH3+])[C@@H]1O, Score: tensor([0.7757]) 
Step: remove fragment, Previous ligand: C[C@H]1CN(c2n[nH]c3cc(-c4cccc5c(=O)n(-c6cc[nH]n6)c(-c6cc7c(-c8nc(-c9cnc%10ccccc%10c9)sc8N)n[nH]c7cn6)[nH+]c45)ccc23)C[C@@H]([NH3+])[C@@H]1O, New ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7888]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: [14*]c1cc(=O)n2ncc(-c3cc4c(-c5nc(-c6cnc7ccccc7c6)sc5N)n[nH]c4cn3)c2[nH]1, Score: tensor([0.8225]) 
Step: remove fragment, Previous ligand: [14*]c1cc(=O)n2ncc(-c3cc4c(-c5nc(-c6cnc7ccccc7c6)sc5N)n[nH]c4cn3)c2[nH]1, New ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7877]) 
Step: remove fragment, Previous ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7877]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: [4*]Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7946]) 
Step: add fragment, Previous ligand: [4*]Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(CN3CCC[C@H]([NH3+])C3)cc12, Score: tensor([0.8119]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(CN3CCC[C@H]([NH3+])C3)cc12, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(CN3CCC[C@H]([NH3+])C3)cc12, Score: tensor([0.8119]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(CN3CCC[C@H]([NH3+])C3)cc12, New ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7883]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: [4*]C[C@@H]([NH3+])Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.8157]) 
Step: add fragment, Previous ligand: [4*]C[C@@H]([NH3+])Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8232]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8232]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8232]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: [4*]C[C@@H]([NH3+])Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.8166]) 
Step: add fragment, Previous ligand: [4*]C[C@@H]([NH3+])Cc1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, Score: tensor([0.8237]) 
Step: remove fragment, Previous ligand: Nc1sc(-c2cnc3ccccc3c2)nc1-c1n[nH]c2cnc(C[C@H]([NH3+])CN3CC[C@@H]([NH3+])[C@H](F)CC3)cc12, New ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, Score: tensor([0.7871]) 
Step: add fragment, Previous ligand: [14*]c1cc2c(-c3nc(-c4cnc5ccccc5c4)sc3N)n[nH]c2cn1, New ligand: Nc1[nH+]nc(-c2cc3c(-c4nc(-c5cnc6ccccc6c5)sc4N)n[nH]c3cn2)s1, Score: tensor([0.7342]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(-c2cc3c(-c4nc(-c5cnc6ccccc6c5)sc4N)n[nH]c3cn2)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4106]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4106]) 
Step: add fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: Nc1[nH+]nc(-c2ccco2)s1, Score: tensor([0.6368]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(-c2ccco2)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4116]) 
Step: add fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: Nc1[nH+]nc(N2CCC[C@@H]([NH3+])C2)s1, Score: tensor([0.6658]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(N2CCC[C@@H]([NH3+])C2)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4107]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4107]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4107]) 
Step: remove fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: [14*]c1n[nH+]c(N)s1, Score: tensor([0.4107]) 
Step: add fragment, Previous ligand: [14*]c1n[nH+]c(N)s1, New ligand: [16*]c1ccc(O)c(-c2n[nH+]c(N)s2)c1, Score: tensor([0.6697]) 
Step: add fragment, Previous ligand: [16*]c1ccc(O)c(-c2n[nH+]c(N)s2)c1, New ligand: Nc1[nH+]nc(-c2cc(-c3ccccc3F)ccc2O)s1, Score: tensor([0.7747]) 
Step: remove fragment, Previous ligand: Nc1[nH+]nc(-c2cc(-c3ccccc3F)ccc2O)s1, New ligand: [16*]c1ccccc1F, Score: tensor([0.5344]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1F, New ligand: Fc1ccccc1[C@H]1C[NH2+]CCC1(F)F, Score: tensor([0.7141]) 
Step: remove fragment, Previous ligand: Fc1ccccc1[C@H]1C[NH2+]CCC1(F)F, New ligand: Fc1ccccc1[C@H]1C[NH2+]CCC1(F)F, Score: tensor([0.7141]) 
Step: remove fragment, Previous ligand: Fc1ccccc1[C@H]1C[NH2+]CCC1(F)F, New ligand: [16*]c1ccccc1F, Score: tensor([0.5350]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1F, New ligand: [14*]c1csc(-c2ccccc2F)n1, Score: tensor([0.7557]) 
Step: add fragment, Previous ligand: [14*]c1csc(-c2ccccc2F)n1, New ligand: [7*]C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, Score: tensor([0.7712]) 
Step: add fragment, Previous ligand: [7*]C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, New ligand: [8*]C=C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, Score: tensor([0.8108]) 
Step: remove fragment, Previous ligand: [8*]C=C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, New ligand: [8*]C=C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, Score: tensor([0.8108]) 
Step: add fragment, Previous ligand: [8*]C=C1SC(Nc2csc(-c3ccccc3F)n2)=NC1=O, New ligand: Cn1c(C=C2SC(Nc3csc(-c4ccccc4F)n3)=NC2=O)cc2c(C#N)ccnc21, Score: tensor([0.7845]) 
Step: remove fragment, Previous ligand: Cn1c(C=C2SC(Nc3csc(-c4ccccc4F)n3)=NC2=O)cc2c(C#N)ccnc21, New ligand: [14*]c1nc(NC2=NC(=O)C(=Cc3cc4c(C#N)ccnc4n3C)S2)cs1, Score: tensor([0.8399]) 
