Molecule: ./Serine/random_a3 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1cn(C)cn1, New ligand: [16*]c1cnc(C2=CCN(S(=O)(=O)c3cn(C)cn3)CC2)c(F)c1, Score: tensor([0.5779]) 
Step: add fragment, Previous ligand: [16*]c1cnc(C2=CCN(S(=O)(=O)c3cn(C)cn3)CC2)c(F)c1, New ligand: [14*]c1cncc(-c2cnc(C3=CCN(S(=O)(=O)c4cn(C)cn4)CC3)c(F)c2)n1, Score: tensor([0.5887]) 
Step: add fragment, Previous ligand: [14*]c1cncc(-c2cnc(C3=CCN(S(=O)(=O)c4cn(C)cn4)CC3)c(F)c2)n1, New ligand: Cn1cnc(S(=O)(=O)N2CC=C(c3ncc(-c4cncc(-c5ccc6c(c5)cc5n6CCC5CC(=O)O)n4)cc3F)CC2)c1, Score: tensor([0.6148]) 
Step: remove fragment, Previous ligand: Cn1cnc(S(=O)(=O)N2CC=C(c3ncc(-c4cncc(-c5ccc6c(c5)cc5n6CCC5CC(=O)O)n4)cc3F)CC2)c1, New ligand: [14*]c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, Score: tensor([0.8377]) 
Step: add fragment, Previous ligand: [14*]c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, New ligand: O=C(O)CC1CCn2c1cc1cc(-c3cncc(C4CCCC4)n3)ccc12, Score: tensor([0.8194]) 
Step: remove fragment, Previous ligand: O=C(O)CC1CCn2c1cc1cc(-c3cncc(C4CCCC4)n3)ccc12, New ligand: [14*]c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, Score: tensor([0.8374]) 
Step: add fragment, Previous ligand: [14*]c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, New ligand: [14*]c1nc2ccccc2n1-c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, Score: tensor([0.7310]) 
Step: add fragment, Previous ligand: [14*]c1nc2ccccc2n1-c1cncc(-c2ccc3c(c2)cc2n3CCC2CC(=O)O)n1, New ligand: [16*]c1ccc(-c2nc3ccccc3n2-c2cncc(-c3ccc4c(c3)cc3n4CCC3CC(=O)O)n2)cc1[16*], Score: tensor([0.5782]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(-c2nc3ccccc3n2-c2cncc(-c3ccc4c(c3)cc3n4CCC3CC(=O)O)n2)cc1[16*], New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8094]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8094]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8094]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8094]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8094]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: O=C(O)CC1CCn2c1cc1cc(-c3ccncc3)ccc12, Score: tensor([0.8369]) 
Step: remove fragment, Previous ligand: O=C(O)CC1CCn2c1cc1cc(-c3ccncc3)ccc12, New ligand: O=C(O)CC1CCn2c1cc1cc(-c3ccncc3)ccc12, Score: tensor([0.8369]) 
Step: remove fragment, Previous ligand: O=C(O)CC1CCn2c1cc1cc(-c3ccncc3)ccc12, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8093]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: O=C(O)CC1CCn2c1cc1cc(CO)ccc12, Score: tensor([0.8300]) 
Step: remove fragment, Previous ligand: O=C(O)CC1CCn2c1cc1cc(CO)ccc12, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8086]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccccc1-c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8302]) 
Step: remove fragment, Previous ligand: [16*]c1ccccc1-c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8092]) 
Step: add fragment, Previous ligand: [16*]c1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: COc1ccc2c(c1)cc1n2CCC1CC(=O)O, Score: tensor([0.8342]) 
Step: remove fragment, Previous ligand: COc1ccc2c(c1)cc1n2CCC1CC(=O)O, New ligand: [3*]OC, Score: tensor([0.3371]) 
Step: add fragment, Previous ligand: [3*]OC, New ligand: COc1nc(C#N)nc2c1ccn2C, Score: tensor([0.7511]) 
Step: remove fragment, Previous ligand: COc1nc(C#N)nc2c1ccn2C, New ligand: COc1nc(C#N)nc2c1ccn2C, Score: tensor([0.7511]) 
Step: remove fragment, Previous ligand: COc1nc(C#N)nc2c1ccn2C, New ligand: [14*]c1nc(C#N)nc2c1ccn2C, Score: tensor([0.7705]) 
