Molecule: ./Serine/random_a2 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7352]) 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7352]) 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7592]) 
Step: remove fragment, Previous ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, New ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7592]) 
Step: remove fragment, Previous ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, New ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7592]) 
Step: remove fragment, Previous ligand: O=C1c2cccc(F)c2C(=O)N1c1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7314]) 
Step: remove fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7314]) 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: CCCCc1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7005]) 
Step: remove fragment, Previous ligand: CCCCc1ccc(-c2ccc(F)cc2)o1, New ligand: CCCCc1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7005]) 
Step: remove fragment, Previous ligand: CCCCc1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7352]) 
Step: remove fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7352]) 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccc(F)cc2)o1, New ligand: NNC(=O)c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7581]) 
Step: remove fragment, Previous ligand: NNC(=O)c1ccc(-c2ccc(F)cc2)o1, New ligand: NNC(=O)c1ccc(-c2ccc(F)cc2)o1, Score: tensor([0.7581]) 
Step: remove fragment, Previous ligand: NNC(=O)c1ccc(-c2ccc(F)cc2)o1, New ligand: [6*]C(=O)NN, Score: tensor([0.3910]) 
Step: add fragment, Previous ligand: [6*]C(=O)NN, New ligand: NNC(=O)C1(O)CCCC1, Score: tensor([0.4246]) 
Step: remove fragment, Previous ligand: NNC(=O)C1(O)CCCC1, New ligand: [6*]C(=O)NN, Score: tensor([0.3912]) 
Step: add fragment, Previous ligand: [6*]C(=O)NN, New ligand: [14*]c1cc(C(=O)NN)ncn1, Score: tensor([0.7554]) 
Step: remove fragment, Previous ligand: [14*]c1cc(C(=O)NN)ncn1, New ligand: [14*]c1cc(C(=O)NN)ncn1, Score: tensor([0.7554]) 
