Step,P38,Bromo,Serine
0,0.0,2.2374970064328433e-07,2.9002606249607296e-07
10,1.0565733822894765,0.12397024131558167,0.40802595262077074
20,1.5302998626894087,0.14510420021241371,0.612682149162404
30,1.4329288578806627,0.16485746876017768,0.721549693110446
40,0.8966395817459338,0.15060300822316458,0.48058253630482833
50,0.8001484046960587,0.14990039761723797,0.807741211722495
60,0.6805453649581532,0.2495861087473784,0.9002543178851597
70,0.8844627342168261,0.1339161686746087,0.606631508122221
80,1.153184309197673,0.15415348885079774,0.7854273563744133
90,0.8748110003512615,0.25773548524279877,0.3982413433514919
100,0.9013020112986574,0.13836258125263545,0.377200337785174
110,0.5075248055151974,0.2528296242373327,0.8168504818902567
120,0.9123016720477454,0.2574293990073315,0.36116437502679
130,1.153379646224151,0.17061597137771153,0.44804821059770017
140,0.8759022952292114,0.15173885175883092,0.8702444143368788
150,0.8693521488945578,0.16647110128808265,0.830848643517685
160,0.7906343090736248,0.19822472957724613,0.8850396263683975
170,0.8598484153735779,0.24723439240154124,0.7133076960937423
180,0.7469715801223521,0.21725038318715903,0.9851641080635555
190,0.8247354435409062,0.15680705918599253,1.8237620596864235
200,0.7128380108929502,0.19260701165000543,0.8747031701521935
210,0.8758721238700051,0.1613180924105176,1.0737975025976592
220,0.849347555873758,0.18668439595614283,0.6843632245518875
230,0.9193275969640545,0.15298900874342058,0.3339289901730714
240,0.9603405210872503,0.16023086332030842,1.7495109345654196
250,0.820422552427154,0.19640552331282202,0.8572990994157911
260,0.8758911169232979,0.11907128911968201,1.749614894614063
270,0.8502544785417824,0.23620068004781722,1.6847860954321745
280,1.0043817533821768,0.32969040135519295,1.0528546595288644
290,0.9893844330596435,0.23482225089958333,0.9104873552004819
300,0.8873525242607418,0.22656954216987785,0.3326485718685675
310,0.8212924958783796,0.1671438993966491,0.5187960503178173
320,0.9095669692557365,0.2507394019353374,0.9804285697915115
330,0.8562399668257107,0.21425424109509816,0.90531687878082
340,0.8902739269791035,0.15073015232983433,0.9547140412169727
350,0.9729048032022987,0.25255701308485634,0.39289231449055023
360,0.758694449594789,0.24280181067340517,0.9410151255648933
370,0.9010596665634516,0.205904077600293,1.895588123347915
380,0.8317996202877386,0.1949694414450736,1.8233507979886787
390,0.9141206984885798,0.07545229192203301,0.8610611070344162
400,0.8732998359329428,0.1937044082287175,1.1008699220623808
410,1.0177423461555735,0.17786233077506985,0.8783347459049076
420,0.8207037394197675,0.13588079592530097,0.6907397837741177
430,0.7588926620131532,0.22917337400822677,1.0767297933337285
440,0.841930175377421,0.16115056353458782,1.4135629520793394
450,0.8553511272275601,0.1422890645698813,1.4940132923504978
460,0.9707135037337195,0.13342203209868003,0.39254555785266665
470,0.8086072166965689,0.15722036199200692,1.9377081364460966
480,0.9369057419521816,0.20142567441064693,0.7883059819123414
490,0.9030954486632943,0.20369364785929434,0.42621206246207344
500,0.8561649257098892,0.14990735264630775,0.8246288766485624
510,1.0813194657346596,0.22211354837751804,0.9936478475512314
520,1.0825212733365464,0.09856070385065555,0.2856520086098859
530,0.7637967629991653,0.1499569420283793,0.28559744063341436
540,0.7532449224480727,0.14503262926526228,0.37110958630485524
550,0.9287742112267013,0.16880357302649882,0.30143667316095846
560,0.8942446472299026,0.32165686924878556,0.3720733510350115
570,0.7863382418681814,0.14684446311020394,0.3088802660519028
580,0.9565842412892022,0.3005525408475588,0.3878465719844726
590,1.0018004080113785,0.1648890055241208,0.3398970356521812
600,1.06527116552467,0.1457318191735875,0.3569075798965905
610,0.8976682984996976,0.15080701063526059,1.740150057028335
620,0.9697582265345418,0.2267318595033897,1.1259029471031876
630,0.8917447611372787,0.16405490924789176,0.7093238101649612
640,0.8535154438824588,0.1443304230388341,1.0250049733871092
650,1.0779474647450453,0.2001426053030645,0.8874602926936181
660,1.0313074992599367,0.26610082427639464,1.087768131750804
670,1.0395681111037909,0.1714989288986583,1.1212194682909613
680,0.8350496892064607,0.20343864201348247,1.0505128377018171
690,1.0915427549273997,0.17281095425859944,1.1231230393059393
700,0.8316925307193823,0.18255979716885362,0.83305918271572
710,0.9829378339701743,0.1861565470082922,1.7937466304423035
720,1.0512984952516962,0.1457870100927916,1.8781494651157697
730,0.8041312400980706,0.17128617551614236,1.5908379853914556
740,0.7436605653433844,0.19411412760317515,2.026855426613004
750,0.7946944075826675,0.1244507659026736,1.9512965012055328
760,0.8144613418643457,0.1886173136478252,0.35115158175489763
770,0.8708364740478571,0.22774453742565628,1.4676207315757686
780,0.7585238869715848,0.2594106175768103,0.8124346976019413
790,0.7836609344697459,0.2297160905777198,1.1501508667712756
800,0.8212672782643978,0.2176569326143305,0.6948750264753011
810,0.9902176520801799,0.2047188565147407,1.5612324185690654
820,0.7719444813496777,0.21541450548032964,1.0559762692799082
830,0.811424856668602,0.2255317396195416,0.9419204469912822
840,0.6923194873666608,0.15510871322628184,1.0180920116525083
850,0.8176243688637905,0.11912661296218777,0.693068644795328
860,0.8027687612147898,0.1569729985057291,1.0904288782166704
870,0.7812239939220161,0.3376302483564123,1.803233537941656
880,0.7106006215352634,0.12611088606929444,0.8840262827085132
890,0.8939997890436026,0.42437742588368005,0.9152320599618303
900,0.9241046004489541,0.4452467858827541,0.2530624779088621
910,0.9288368214337543,0.15963190401978916,1.8169767989342551
920,0.8212621721128691,0.19430884324689016,0.4154376293506093
930,0.7407775579954533,0.21468040163503033,0.35880782099672165
940,0.7252160244534014,0.21907050783343263,0.36437445108007804
950,0.7311463871934079,0.16027869237709286,0.4735254030338315
960,0.7653973491361632,0.27162723485909346,0.2594048982270016
970,0.8563593312490185,0.21341934502228146,0.29976085550485926
980,0.7746952553605821,0.21225094204510092,0.36479988663111806
990,0.9080698454999822,0.18837206841519677,0.30989032483403595
1000,0.8487085377937124,0.1564570581134632,0.2824670897852622
1010,1.0795376700200907,0.14591231299065865,1.7236288086580884
1020,0.8699719584865941,0.10684432331196449,0.9419077702807841
1030,0.9168570250838521,0.1077532980134172,0.40142745342202923
1040,0.7865162979411666,0.2523717099512292,0.46925204190696673
1050,0.8513986459536005,0.10336820352129054,0.2850489377681362
1060,0.8444437134001815,0.15670047823481692,0.3431588955359511
1070,0.883748598713838,0.17176253579517597,0.37058115009572273
1080,0.863086551545497,0.2191211403176285,0.7179397724050073
1090,0.7825101239594434,0.0856531035817493,0.4232188226477954
1100,0.8431310552718327,0.10594511889935752,0.7307600595436448
1110,0.8701938531272265,0.23849788458420965,1.7234022054831133
1120,0.9314514070562497,0.2207867934556644,1.0903455829751696
1130,0.8158944029073173,0.14403162434016636,1.1366080911148848
1140,0.8563577752184923,0.09721214265280484,0.8851244441589352
1150,0.8262080062243068,0.14871096440400938,0.8330593098667957
1160,0.8214750262291602,0.1434413387390603,0.9110538269280873
1170,0.8693742556520283,0.08393593388846106,0.37820831930302284
1180,0.9178662930978675,0.15531208955636308,0.370638258877072
1190,0.8719299629180035,0.1596439963816955,0.31829939342940994
1200,0.9077736536437251,0.19467938819981567,0.30127034940962405
1210,1.0016261455942375,0.13096390583537437,1.1825536308498288
1220,0.8920600697946554,0.17373060969967313,1.0986994772902317
1230,0.8312717570842126,0.2725851055339042,1.1871112926016416
1240,0.8713471662180854,0.1773645147993883,1.0810230607167624
1250,0.8261210872817443,0.19089309527512807,1.1434486390418621
1260,0.8602379969787161,0.15446996429304416,1.8316468296379933
1270,0.8680956966869984,0.13728508924510546,0.6357745716227302
1280,0.8006674104328575,0.1379366177361886,1.8561794603203503
1290,0.8356586358099941,0.18926579624154236,1.825448256056687
1300,0.9556621465235319,0.1643484803775376,1.719012430298972
1310,1.0501551961080824,0.20512243408839562,1.6831393945995445
1320,0.9290431576333972,0.1540432102442992,1.0752257250345765
1330,0.9350124377439888,0.1523234415226775,1.722927063112202
1340,0.95915386768455,0.1576900571701093,1.6632737508816118
1350,0.9788575411454553,0.21886304274158855,0.9335212792945451
1360,0.9640526122689259,0.23824920463346144,0.8816134337429485
1370,1.0426232829202384,0.11273141237690838,1.805332755923962
1380,0.8919707934451202,0.16530054625308352,0.39396749804326014
1390,0.8253154102531103,0.1736494582116384,1.0484899521250903
1400,0.8450363537539624,0.2473178526259472,1.7594993959955518
1410,0.8725513006262625,0.27650530987660793,0.8485520696618795
1420,0.8788475936297632,0.19413134891069908,1.1060301538010475
1430,0.9127794116601842,0.25615797539519386,0.6231220091804747
1440,0.8446351465383435,0.2752753285864906,0.3707052856991493
1450,0.8405397045409237,0.29612594772860606,0.2822277527385073
1460,0.9462901938803547,0.12651408815192572,0.22291131115195345
1470,1.0005421804911043,0.1560906050654605,0.2504065953400847
1480,0.7543515030939002,0.13495119663652844,0.6963038934189882
1490,0.7114169497361325,0.26462272886977506,0.9148973700593458
1500,0.7494125771756343,0.2645130881123119,0.39841468901204236
1510,0.790914931853233,0.20644197091380864,1.621324669781392
1520,0.8429123644080458,0.23558366021924265,1.0903101490884899
1530,0.8688055837760659,0.2242522112768534,0.7402159337053956
1540,0.9571620806082919,0.18734844174876777,1.0563695072014159
1550,0.9890715335708032,0.2733372074843401,0.8284262010151976
1560,0.8853271666899079,0.2875613394428317,1.078563383393946
1570,0.8685399252945828,0.20996011287950192,0.7682233813060498
1580,0.7935290852964243,0.2618613187970841,1.016459589499281
1590,0.8981707151649471,0.22798641816646636,0.9605872176697529
1600,0.9321533343752862,0.2753483622021488,1.0149585265057668
1610,0.8888635123635444,0.2660895036044409,1.5725613910553904
1620,1.0229636408926812,0.25032274966564977,1.6731086316187607
1630,0.9131620528035741,0.16226294835382507,1.1306474816347787
1640,0.9122153619959849,0.26592466640672585,0.3385597614633377
1650,0.9875769816463001,0.18938632224802313,0.9805876835830127
1660,0.9222173863776384,0.13470081800255196,1.093719501892126
1670,0.8806152970686362,0.18073549883792353,1.0084185569633421
1680,0.888688585198957,0.166024304432328,1.0991871512097358
1690,0.8401268874762461,0.20797742962852114,1.5736637223794192
1700,0.8440032999986302,0.17971302562924363,0.9451080563239999
1710,0.8617072588521577,0.13143371864435047,1.7242187811811598
1720,0.7282168986600327,0.27625527710249886,1.0868210102604612
1730,0.9393343200626322,0.14954896630568051,1.6730328192806703
1740,0.7618610040118511,0.23099029185194944,1.2318465556477507
1750,0.8192907281413528,0.14846583264152433,1.0732511509759566
1760,0.7932858565831553,0.40867160175083733,1.4903594431298048
1770,0.8690142254955877,0.30641181078676355,1.525542332514706
1780,0.818179113057587,0.14970842791713013,1.6189146269963919
1790,0.8296486961907731,0.16916737090963693,0.8625961905954462
1800,0.8229996542296684,0.15641915830988135,1.7330654010838047
1810,1.0204022264719412,0.18257984271061165,1.6971361212221712
1820,0.8466770563928628,0.21303740894877998,1.620024460562021
1830,0.8468148920399327,0.1544118875739501,0.49112948684267815
1840,0.8536443891488918,0.20399831609967847,0.9702786806326438
1850,1.0113473672240927,0.13376575769020743,0.9467489421341168
1860,0.871357648107381,0.11212041100698637,0.3989667564546269
1870,0.9250124477634664,0.2072542885124253,0.596792769107585
1880,0.8992844469264801,0.21099575306197274,0.923724966333565
1890,0.8318248638171504,0.25939318807570905,0.8115845803902351
1900,0.846599640967086,0.22755586357629998,0.4465736107794266
1910,0.9253526284493017,0.13794698486216497,1.6041197930050517
1920,0.7932326822064584,0.1544085363841976,0.9883566782096579
1930,0.8397770289367232,0.10690157830547958,1.5779452359254555
1940,0.8197538258086082,0.12030334029172912,0.6479080629254058
1950,0.8284480510077934,0.1789034815016144,1.0463622373842587
1960,0.9314323195307238,0.1972486587418107,0.7835283331909383
1970,0.7685254277043626,0.2589998833319521,1.0190033791646795
1980,1.1227886711822386,0.1634120186736907,0.9145923506059256
1990,0.9103829354930234,0.2477587806544605,0.9886873648143603
2000,0.8706037533483746,0.20903302289800915,0.8272424484509775
