Molecule: ./P38/specific_frags_2.txt 
Step: remove fragment, Previous ligand: [14*]c1nc(-c2ccc(F)cc2)c([14*])[nH]1, New ligand: [16*]c1ccc(F)cc1, Score: tensor([0.4234]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1, New ligand: [16*]c1ccc(F)cc1, Score: tensor([0.4234]) 
Step: add fragment, Previous ligand: [16*]c1ccc(F)cc1, New ligand: Fc1ccc(-c2ccc(F)cc2Cl)cc1, Score: tensor([0.4593]) 
Step: remove fragment, Previous ligand: Fc1ccc(-c2ccc(F)cc2Cl)cc1, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4162]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4162]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4162]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4162]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4162]) 
Step: add fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: Fc1ccc(-c2ccc(F)cc2Cl)cc1, Score: tensor([0.4570]) 
Step: remove fragment, Previous ligand: Fc1ccc(-c2ccc(F)cc2Cl)cc1, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4161]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4161]) 
Step: add fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [5*]N1CCC(c2ccc(F)cc2Cl)CC1, Score: tensor([0.4572]) 
Step: remove fragment, Previous ligand: [5*]N1CCC(c2ccc(F)cc2Cl)CC1, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4161]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(F)cc1Cl, New ligand: [16*]c1ccc(F)cc1Cl, Score: tensor([0.4161]) 
Step: add fragment, Previous ligand: [16*]c1cc2ncnc([NH+]3CCCC3)c2cc1-c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cc4c([NH+]5CCCC5)ncnc4cc3-c3ccc(F)cc3F)c2c1, Score: tensor([0.8389]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3cc4c([NH+]5CCCC5)ncnc4cc3-c3ccc(F)cc3F)c2c1, New ligand: [14*]c1ncnc2cc(-c3ccc(F)cc3F)c(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)cc12, Score: tensor([0.8306]) 
Step: remove fragment, Previous ligand: [14*]c1ncnc2cc(-c3ccc(F)cc3F)c(-c3cc[nH+]c4ccc([N+](=O)[O-])cc34)cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7610]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7610]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(C3CC[NH2+]CC3)c2c1, Score: tensor([0.8441]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(C3CC[NH2+]CC3)c2c1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7621]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, Score: tensor([0.7766]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, Score: tensor([0.7766]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, Score: tensor([0.7766]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, Score: tensor([0.7766]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3c(Cl)cccc3Cl)c2c1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7604]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7604]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccc(F)cc3)c2c1, Score: tensor([0.6952]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccc(F)cc3)c2c1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7612]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7612]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, Score: tensor([0.8366]) 
Step: add fragment, Previous ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc([NH+]3CCN(c4c(F)cc(Br)cc4F)CC3)c2c1, Score: tensor([0.7906]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc([NH+]3CCN(c4c(F)cc(Br)cc4F)CC3)c2c1, New ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, Score: tensor([0.8363]) 
Step: remove fragment, Previous ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, New ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, Score: tensor([0.8363]) 
Step: add fragment, Previous ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, New ligand: [16*]c1ccc(N2CC[NH+](c3cc[nH+]c4ccc([N+](=O)[O-])cc34)CC2)cc1[16*], Score: tensor([0.8202]) 
Step: add fragment, Previous ligand: [16*]c1ccc(N2CC[NH+](c3cc[nH+]c4ccc([N+](=O)[O-])cc34)CC2)cc1[16*], New ligand: [16*]c1cc(N2CC[NH+](c3cc[nH+]c4ccc([N+](=O)[O-])cc34)CC2)ccc1NC, Score: tensor([0.8221]) 
Step: remove fragment, Previous ligand: [16*]c1cc(N2CC[NH+](c3cc[nH+]c4ccc([N+](=O)[O-])cc34)CC2)ccc1NC, New ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, Score: tensor([0.8364]) 
Step: remove fragment, Previous ligand: [5*]N1CC[NH+](c2cc[nH+]c3ccc([N+](=O)[O-])cc23)CC1, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7611]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7611]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: CNc1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7864]) 
Step: remove fragment, Previous ligand: CNc1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, Score: tensor([0.7606]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]c2ccc([N+](=O)[O-])cc12, New ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, Score: tensor([0.7897]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, New ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, Score: tensor([0.7897]) 
Step: remove fragment, Previous ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, New ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, Score: tensor([0.7897]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, Score: tensor([0.7538]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, Score: tensor([0.7538]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, Score: tensor([0.7538]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, New ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, Score: tensor([0.7538]) 
Step: remove fragment, Previous ligand: O=[N+]([O-])c1ccc2[nH+]ccc(-c3ccnc(-c4ccncc4)c3)c2c1, New ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, Score: tensor([0.7919]) 
Step: add fragment, Previous ligand: [14*]c1cc(-c2cc[nH+]c3ccc([N+](=O)[O-])cc23)ccn1, New ligand: O=C1CCCCc2cc(-c3cc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)ccn3)ccc21, Score: tensor([0.7343]) 
Step: remove fragment, Previous ligand: O=C1CCCCc2cc(-c3cc(-c4cc[nH+]c5ccc([N+](=O)[O-])cc45)ccn3)ccc21, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: add fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: remove fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: add fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: remove fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: add fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, Score: tensor([0.7738]) 
Step: add fragment, Previous ligand: [16*]c1ccnc(-c2ccc3c(c2)CCCCC3=O)c1, New ligand: [9*]n1cc(-c2ccnc(-c3ccc4c(c3)CCCCC4=O)c2)c2ccccc21, Score: tensor([0.7496]) 
Step: add fragment, Previous ligand: [9*]n1cc(-c2ccnc(-c3ccc4c(c3)CCCCC4=O)c2)c2ccccc21, New ligand: [14*]c1ncnc2cc(-n3cc(-c4ccnc(-c5ccc6c(c5)CCCCC6=O)c4)c4ccccc43)c([16*])cc12, Score: tensor([0.7332]) 
Step: remove fragment, Previous ligand: [14*]c1ncnc2cc(-n3cc(-c4ccnc(-c5ccc6c(c5)CCCCC6=O)c4)c4ccccc43)c([16*])cc12, New ligand: [14*]c1cc(-c2cn(-c3cc4ncnc([14*])c4cc3[16*])c3ccccc23)ccn1, Score: tensor([0.6076]) 
