Molecule: ./P38/specific_frags_1.txt 
Step: remove fragment, Previous ligand: [16*]c1ccc([16*])c2ccccc12, New ligand: [16*]c1ccc([16*])c2ccccc12, Score: tensor([0.4163]) 
Step: add fragment, Previous ligand: [16*]c1ccc([16*])c2ccccc12, New ligand: [1*]C(=O)C(=O)c1ccc([16*])c2ccccc12, Score: tensor([0.4603]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(=O)c1ccc([16*])c2ccccc12, New ligand: [5*]N1C[C@H](C)[N@@H+](C(=O)C(=O)c2ccc([16*])c3ccccc23)C[C@H]1C, Score: tensor([0.5574]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](C(=O)C(=O)c2ccc([16*])c3ccccc23)C[C@H]1C, New ligand: [5*]N1C[C@H](C)[N@@H+](C(=O)C(=O)c2ccc([16*])c3ccccc23)C[C@H]1C, Score: tensor([0.5574]) 
Step: add fragment, Previous ligand: [5*]N1C[C@H](C)[N@@H+](C(=O)C(=O)c2ccc([16*])c3ccccc23)C[C@H]1C, New ligand: [16*]c1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, Score: tensor([0.4979]) 
Step: remove fragment, Previous ligand: [16*]c1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, New ligand: [16*]c1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, Score: tensor([0.4979]) 
Step: add fragment, Previous ligand: [16*]c1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, New ligand: [4*]Cc1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, Score: tensor([0.5483]) 
Step: remove fragment, Previous ligand: [4*]Cc1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, New ligand: [4*]Cc1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, Score: tensor([0.5483]) 
Step: add fragment, Previous ligand: [4*]Cc1ccc(C(=O)C(=O)[N@H+]2C[C@@H](C)N(c3ccc(F)cc3F)C[C@@H]2C)c2ccccc12, New ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, Score: tensor([0.7483]) 
Step: remove fragment, Previous ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, New ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, Score: tensor([0.7483]) 
Step: remove fragment, Previous ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, New ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, Score: tensor([0.7483]) 
Step: remove fragment, Previous ligand: C[C@@H]1C[N@H+](C(=O)C(=O)c2ccc(C[NH+]3CCCC3)c3ccccc23)[C@@H](C)CN1c1ccc(F)cc1F, New ligand: [5*][NH+]1CCCC1, Score: tensor([0.3496]) 
Step: remove fragment, Previous ligand: [5*][NH+]1CCCC1, New ligand: [5*][NH+]1CCCC1, Score: tensor([0.3496]) 
Step: add fragment, Previous ligand: [5*][NH+]1CCCC1, New ligand: [1*]C(=O)C[NH+]1CCCC1, Score: tensor([0.3658]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C[NH+]1CCCC1, New ligand: [5*][NH+]1CCCC1, Score: tensor([0.3495]) 
Step: add fragment, Previous ligand: [5*][NH+]1CCCC1, New ligand: Cc1cccc([NH+]2CCCC2)c1, Score: tensor([0.4347]) 
Step: remove fragment, Previous ligand: Cc1cccc([NH+]2CCCC2)c1, New ligand: [5*][NH+]1CCCC1, Score: tensor([0.3494]) 
Step: add fragment, Previous ligand: [5*][NH+]1CCCC1, New ligand: C[S@](=O)c1ccc([NH+]2CCCC2)cc1, Score: tensor([0.5482]) 
Step: remove fragment, Previous ligand: C[S@](=O)c1ccc([NH+]2CCCC2)cc1, New ligand: [16*]c1ccc([S@](C)=O)cc1, Score: tensor([0.4277]) 
Step: add fragment, Previous ligand: [16*]c1ccc([S@](C)=O)cc1, New ligand: [14*]c1nsc(-c2ccc([S@](C)=O)cc2)c1[16*], Score: tensor([0.6237]) 
Step: add fragment, Previous ligand: [14*]c1nsc(-c2ccc([S@](C)=O)cc2)c1[16*], New ligand: [4*]CCc1c([14*])nsc1-c1ccc([S@](C)=O)cc1, Score: tensor([0.6957]) 
Step: remove fragment, Previous ligand: [4*]CCc1c([14*])nsc1-c1ccc([S@](C)=O)cc1, New ligand: [4*]CCc1c([14*])nsc1[14*], Score: tensor([0.4317]) 
Step: remove fragment, Previous ligand: [4*]CCc1c([14*])nsc1[14*], New ligand: [4*]CCc1c([14*])nsc1[14*], Score: tensor([0.4317]) 
Step: add fragment, Previous ligand: [4*]CCc1c([14*])nsc1[14*], New ligand: [4*]CCc1c([14*])nsc1-c1cccc([16*])c1, Score: tensor([0.6876]) 
