Molecule: ./no_chain/4dtk 
Step: add fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1[16*], New ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7091]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6535]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6535]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7035]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6518]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7004]) 
Step: remove fragment, Previous ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7004]) 
Step: add fragment, Previous ligand: [16*]c1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7363]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc([16*])c1-c1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc([16*])c1-c1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6728]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc([16*])c1-c1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(-c2cccc([16*])c2[16*])c1-c1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6766]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc(-c2cccc([16*])c2[16*])c1-c1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(-c2c(Oc3cccc([16*])c3[16*])cccc2-c2cccc([16*])c2[16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.6846]) 
Step: remove fragment, Previous ligand: [3*]Oc1cccc(-c2c(Oc3cccc([16*])c3[16*])cccc2-c2cccc([16*])c2[16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7108]) 
Step: remove fragment, Previous ligand: [3*]Oc1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7108]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc([16*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7325]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc(O[3*])c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7665]) 
Step: remove fragment, Previous ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7665]) 
Step: add fragment, Previous ligand: [3*]Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: CC(C)Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7722]) 
Step: remove fragment, Previous ligand: CC(C)Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7079]) 
Step: remove fragment, Previous ligand: CC(C)Oc1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7079]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc(OC(C)C)c1[16*], Score: tensor([0.5766]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1[16*], New ligand: [16*]c1cccc(OC(C)C)c1[16*], Score: tensor([0.5766]) 
Step: add fragment, Previous ligand: [16*]c1cccc(OC(C)C)c1[16*], New ligand: [16*]c1cccc(-c2c([16*])cccc2OC(C)C)c1[16*], Score: tensor([0.6856]) 
Step: add fragment, Previous ligand: [16*]c1cccc(-c2c([16*])cccc2OC(C)C)c1[16*], New ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7486]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [16*]c1c(OC(C)C)cccc1N1CCC[C@@H]([NH3+])C1, Score: tensor([0.7253]) 
Step: add fragment, Previous ligand: [16*]c1c(OC(C)C)cccc1N1CCC[C@@H]([NH3+])C1, New ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7482]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7482]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7482]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2c(OC(C)C)cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [16*]c1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7033]) 
Step: remove fragment, Previous ligand: [16*]c1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], New ligand: [16*]c1cccc(-c2c([16*])cccc2N2CCC[C@@H]([NH3+])C2)c1[16*], Score: tensor([0.7033]) 
