Molecule: ./no_chain/5kzi 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7795]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7795]) 
Step: remove fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, Score: tensor([0.7795]) 
Step: add fragment, Previous ligand: [16*]c1cc[nH+]cc1-c1c[nH+]ccc1N1CCC[C@H]([NH3+])C1, New ligand: [14*]c1ncc2ccc(-c3cc[nH+]cc3-c3c[nH+]ccc3N3CCC[C@H]([NH3+])C3)nn12, Score: tensor([0.6640]) 
Step: add fragment, Previous ligand: [14*]c1ncc2ccc(-c3cc[nH+]cc3-c3c[nH+]ccc3N3CCC[C@H]([NH3+])C3)nn12, New ligand: [NH3+][C@H]1CCCN(c2cc[nH+]cc2-c2c[nH+]ccc2-c2ccc3cnc(-c4c(F)cccc4F)n3n2)C1, Score: tensor([0.7230]) 
Step: remove fragment, Previous ligand: [NH3+][C@H]1CCCN(c2cc[nH+]cc2-c2c[nH+]ccc2-c2ccc3cnc(-c4c(F)cccc4F)n3n2)C1, New ligand: [16*]c1c[nH+]ccc1-c1ccc2cnc(-c3c(F)cccc3F)n2n1, Score: tensor([0.6588]) 
Step: add fragment, Previous ligand: [16*]c1c[nH+]ccc1-c1ccc2cnc(-c3c(F)cccc3F)n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3-c3ccc4cnc(-c5c(F)cccc5F)n4n3)n2n1, Score: tensor([0.6843]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3-c3ccc4cnc(-c5c(F)cccc5F)n4n3)n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, Score: tensor([0.7654]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, Score: tensor([0.7654]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, Score: tensor([0.7654]) 
Step: add fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3[16*])n2n1, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.8003]) 
Step: add fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3c[nH+]ccc3[16*])n2n1, Score: tensor([0.8301]) 
Step: remove fragment, Previous ligand: [14*]c1ccc2cnc(-c3c[nH+]ccc3Nc3c[nH+]ccc3[16*])n2n1, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.7991]) 
Step: add fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, Score: tensor([0.7991]) 
Step: add fragment, Previous ligand: [5*]Nc1cc[nH+]cc1-c1ncc2ccc([14*])nn12, New ligand: [14*]c1ccc2cnc(Nc3cc[nH+]cc3-c3ncc4ccc([14*])nn34)n2n1, Score: tensor([0.7734]) 
