Molecule: ./P38/random_1 
Step: add fragment, Previous ligand: [1*]C(=O)C([4*])([4*])C(F)(F)F, New ligand: [1*]C(=O)C([4*])(N1C[C@H]([15*])[C@H]2OCCC[C@H]21)C(F)(F)F, Score: tensor([0.4814]) 
Step: remove fragment, Previous ligand: [1*]C(=O)C([4*])(N1C[C@H]([15*])[C@H]2OCCC[C@H]21)C(F)(F)F, New ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, Score: tensor([0.4105]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, Score: tensor([0.4105]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, Score: tensor([0.4105]) 
Step: add fragment, Previous ligand: [5*]N1C[C@H]([15*])[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3[9*])[C@H]2OCCC[C@H]21, Score: tensor([0.7766]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3[9*])[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3[9*])[C@H]2OCCC[C@H]21, Score: tensor([0.7766]) 
Step: add fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3[9*])[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([9*])n2)[C@H]2OCCC[C@H]21, Score: tensor([0.8030]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([9*])n2)[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([9*])n2)[C@H]2OCCC[C@H]21, Score: tensor([0.8030]) 
Step: add fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([9*])n2)[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([C@H]3Cc4c([nH]c5ccccc45)CN3)n2)[C@H]2OCCC[C@H]21, Score: tensor([0.7026]) 
Step: remove fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([C@H]3Cc4c([nH]c5ccccc45)CN3)n2)[C@H]2OCCC[C@H]21, New ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([C@H]3Cc4c([nH]c5ccccc45)CN3)n2)[C@H]2OCCC[C@H]21, Score: tensor([0.7026]) 
Step: add fragment, Previous ligand: [5*]N1C[C@@H](c2cc3c(cn2)cnn3-c2ccn([C@H]3Cc4c([nH]c5ccccc45)CN3)n2)[C@H]2OCCC[C@H]21, New ligand: [16*]c1cc([16*])c(N2C[C@@H](c3cc4c(cn3)cnn4-c3ccn([C@H]4Cc5c([nH]c6ccccc56)CN4)n3)[C@H]3OCCC[C@H]32)c([16*])c1, Score: tensor([0.7216]) 
