Molecule: ./P38/random_a2 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([16*])c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@@]3([15*])O)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.7059]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@@]3([15*])O)c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.6446]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.6446]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N([10*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCC[4*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.6067]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCC[4*])C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCCNC(=N)N)C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], Score: tensor([0.5015]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCCNC(=N)N)C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2[5*], New ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCCNC(=N)N)C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2C(C)C, Score: tensor([0.4430]) 
Step: add fragment, Previous ligand: [1*]C(=O)C1=C(c2cccc([C@@H]3[C@]([13*])(O)N(CCCNC(=N)N)C(=O)[C@]3(O)c3ncc[nH]3)c2)C[C@@H]2CC[C@H]1N2C(C)C, New ligand: [13*][C@]1(O)[C@@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@@](O)(c2ncc[nH]2)C(=O)N1CCCNC(=N)N, Score: tensor([0.6106]) 
Step: remove fragment, Previous ligand: [13*][C@]1(O)[C@@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@@](O)(c2ncc[nH]2)C(=O)N1CCCNC(=N)N, New ligand: [13*][C@]1(O)[C@@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@]([15*])(O)C(=O)N1CCCNC(=N)N, Score: tensor([0.4517]) 
Step: remove fragment, Previous ligand: [13*][C@]1(O)[C@@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@]([15*])(O)C(=O)N1CCCNC(=N)N, New ligand: [10*]N1C(=O)[C@@]([15*])(O)[C@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@]1([13*])O, Score: tensor([0.6837]) 
Step: add fragment, Previous ligand: [10*]N1C(=O)[C@@]([15*])(O)[C@H](c2cccc(C3=C(C(=O)N4CCC([15*])(F)CC4)[C@H]4CC[C@@H](C3)N4C(C)C)c2)[C@]1([13*])O, New ligand: [9*]n1cc([C@]2(O)[C@@H](c3cccc(C4=C(C(=O)N5CCC([15*])(F)CC5)[C@H]5CC[C@@H](C4)N5C(C)C)c3)[C@]([15*])(O)C(=O)N2[10*])c2ccccc21, Score: tensor([0.4784]) 
Step: add fragment, Previous ligand: [9*]n1cc([C@]2(O)[C@@H](c3cccc(C4=C(C(=O)N5CCC([15*])(F)CC5)[C@H]5CC[C@@H](C4)N5C(C)C)c3)[C@]([15*])(O)C(=O)N2[10*])c2ccccc21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@H]5[C@]([15*])(O)C(=O)N([10*])[C@]5(O)c5cn([9*])c6ccccc56)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.5014]) 
Step: remove fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@H]5[C@]([15*])(O)C(=O)N([10*])[C@]5(O)c5cn([9*])c6ccccc56)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([10*])C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.7709]) 
Step: remove fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([10*])C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([10*])C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.7709]) 
Step: add fragment, Previous ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([10*])C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, New ligand: [5*]N1CCN(C2(F)CCN(C(=O)C3=C(c4cccc([C@@H]5[C@]([13*])(O)N([C@H]6CCOC6)C(=O)[C@@]5([15*])O)c4)C[C@@H]4CC[C@H]3N4C(C)C)CC2)[C@@H]2CS(=O)(=O)C[C@@H]21, Score: tensor([0.6374]) 
