Molecule: ./Results/normal_sim_a1.txt 
Step: ['move_junction'], Previous ligand: CCCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1ccn(O)c1S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCCCc1c(CC)ccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['move_junction'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCCCCCc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['change bond type'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(CC)Cc1cccn(O)c1=S, New ligand: CCCC(CC)Cc1cccn(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(CC)Cc1cccn(O)c1=S, Changed ligand: CCCC(C)Cc1cccn(O)c1=S, New ligand: CCCC(C)Cc1cccn(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Cc1cccn(O)c1=S, Changed ligand: CCCC(C)Cc1ccc(C)n(O)c1=S, New ligand: CCCC(C)Cc1ccc(C)n(O)c1=S 
Step: ['change type'], Previous ligand: CCCC(C)Cc1ccc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, New ligand: CCCC(C)Nc1ccc(C)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, Changed ligand: CCCC(C)c1ccc(C)n(O)c1=S, New ligand: CCCC(C)Nc1ccc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['change type'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)N=C1C(=S)N(O)C(C)(S)C=C1O, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['turn ring aromatic'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)NC1C(=S)N(O)C(C)CC1O, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)N=C1C(=S)N(O)C(C)(CCC)C=C1O, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['switch'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1c(O)cc(C)n(CO)c1=S, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: C=C(CC)C(C)Nc1c(O)cc(C)n(O)c1=S, New ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, New ligand: CCCC(C)Nc1ccc(C)n(O)c1=S 
Step: ['turn ring aromatic'], Previous ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, Changed ligand: CCCC(C)NC1CCC(C)N(O)C1=S, New ligand: CCCC(C)Nc1ccc(C)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)Nc1ccc(C)n(O)c1=S, Changed ligand: CCCCNc1ccc(C)n(O)c1=S, New ligand: CCCCNc1ccc(C)n(O)c1=S 
Step: ['add'], Previous ligand: CCCCNc1ccc(C)n(O)c1=S, Changed ligand: CCCCNc1c(C)cc(C)n(O)c1=S, New ligand: CCCCNc1c(C)cc(C)n(O)c1=S 
