Molecule: ./Bromo/rand_p5 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)n(C)c(=O)n2-c1cc(O)c(-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)c(-c2ccccc2[16*])c1, New ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3[9*])cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8099]) 
Step: add fragment, Previous ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3[9*])cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8327]) 
Step: remove fragment, Previous ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8327]) 
Step: add fragment, Previous ligand: [8*]CCc1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1ccc(CCc2ccccc2-c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, Score: tensor([0.8298]) 
Step: remove fragment, Previous ligand: [14*]c1ccc(CCc2ccccc2-c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, New ligand: [16*]c1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8402]) 
Step: add fragment, Previous ligand: [16*]c1ccccc1-c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1ccc(-c2ccccc2-c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, Score: tensor([0.8328]) 
Step: add fragment, Previous ligand: [14*]c1ccc(-c2ccccc2-c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, New ligand: CCn1cnc2c1c(=O)n(C)c(=O)n2-c1cc(O)c(-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)c(-c2ccccc2-c2ccc(C3CCCO3)o2)c1, Score: tensor([0.8253]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)n(C)c(=O)n2-c1cc(O)c(-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)c(-c2ccccc2-c2ccc(C3CCCO3)o2)c1, New ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8540]) 
Step: remove fragment, Previous ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8540]) 
Step: remove fragment, Previous ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.8540]) 
Step: add fragment, Previous ligand: [16*]c1cc(-n2c(=O)n(C)c(=O)c3c2ncn3CC)cc(O)c1-c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [15*]C1CCN(c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)C1, Score: tensor([0.8483]) 
Step: add fragment, Previous ligand: [15*]C1CCN(c2cc(-n3c(=O)n(C)c(=O)c4c3ncn4CC)cc(O)c2-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)C1, New ligand: [16*]c1cc([16*])c([16*])c(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1, Score: tensor([0.8324]) 
Step: add fragment, Previous ligand: [16*]c1cc([16*])c([16*])c(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1, New ligand: [16*]c1cc(-c2c([N+](=O)[O-])cc(C)c(O)c2[16*])cc(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1[16*], Score: tensor([0.8201]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2c([N+](=O)[O-])cc(C)c(O)c2[16*])cc(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1[16*], New ligand: [16*]c1cc(-c2c([N+](=O)[O-])cc(C)c(O)c2[C@H]2CNC(=O)C2)cc(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1[16*], Score: tensor([0.6677]) 
Step: add fragment, Previous ligand: [16*]c1cc(-c2c([N+](=O)[O-])cc(C)c(O)c2[C@H]2CNC(=O)C2)cc(C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c1[16*], New ligand: [16*]c1cc(F)c(-c2c([16*])cc(-c3c([N+](=O)[O-])cc(C)c(O)c3[C@H]3CNC(=O)C3)cc2C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c(Cl)c1, Score: tensor([0.7639]) 
Step: remove fragment, Previous ligand: [16*]c1cc(F)c(-c2c([16*])cc(-c3c([N+](=O)[O-])cc(C)c(O)c3[C@H]3CNC(=O)C3)cc2C2CCN(c3cc(-n4c(=O)n(C)c(=O)c5c4ncn5CC)cc(O)c3-c3c(C)c4ccccc4n3S(=O)(=O)c3ccc(C)cc3)C2)c(Cl)c1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6141]) 
Step: add fragment, Previous ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1ccc(-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, Score: tensor([0.6911]) 
Step: remove fragment, Previous ligand: [14*]c1ccc(-c2c(C)c3ccccc3n2S(=O)(=O)c2ccc(C)cc2)o1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6137]) 
Step: add fragment, Previous ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N(C)C)c(C)c3ccccc32)cc1, Score: tensor([0.5661]) 
Step: remove fragment, Previous ligand: Cc1ccc(S(=O)(=O)n2c(N(C)C)c(C)c3ccccc32)cc1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6142]) 
Step: remove fragment, Previous ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6142]) 
Step: remove fragment, Previous ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, Score: tensor([0.6142]) 
Step: add fragment, Previous ligand: [14*]c1c(C)c2ccccc2n1S(=O)(=O)c1ccc(C)cc1, New ligand: Cc1ccc(S(=O)(=O)n2c(N3CCCC3)c(C)c3ccccc32)cc1, Score: tensor([0.7116]) 
