Molecule: ./Bromo/random_a2 
Step: remove fragment, Previous ligand: Cc1ccccc1C1(N2CCc3ncnc(-c4csc(N5c6ccccc6CC5C)n4)c3C2)CCCCC1, New ligand: [15*]C1(N2CCc3ncnc(-c4csc(N5c6ccccc6CC5C)n4)c3C2)CCCCC1, Score: tensor([0.6434]) 
Step: add fragment, Previous ligand: [15*]C1(N2CCc3ncnc(-c4csc(N5c6ccccc6CC5C)n4)c3C2)CCCCC1, New ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(N5c6ccccc6CC5C)n4)c3C2)CCCCC1, Score: tensor([0.7716]) 
Step: remove fragment, Previous ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(N5c6ccccc6CC5C)n4)c3C2)CCCCC1, New ligand: [14*]c1nc(-c2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)cs1, Score: tensor([0.8246]) 
Step: add fragment, Previous ligand: [14*]c1nc(-c2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)cs1, New ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(-c5ccnc(N)n5)n4)c3C2)CCCCC1, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(-c5ccnc(N)n5)n4)c3C2)CCCCC1, New ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(-c5ccnc(N)n5)n4)c3C2)CCCCC1, Score: tensor([0.7115]) 
Step: remove fragment, Previous ligand: Cc1c(F)cccc1C1(N2CCc3ncnc(-c4csc(-c5ccnc(N)n5)n4)c3C2)CCCCC1, New ligand: [14*]c1nc(-c2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)cs1, Score: tensor([0.8231]) 
Step: remove fragment, Previous ligand: [14*]c1nc(-c2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)cs1, New ligand: [14*]c1ncnc2c1CN(C1(c3cccc(F)c3C)CCCCC1)CC2, Score: tensor([0.7328]) 
Step: add fragment, Previous ligand: [14*]c1ncnc2c1CN(C1(c3cccc(F)c3C)CCCCC1)CC2, New ligand: [3*]Oc1ncnc2c1CN(C1(c3cccc(F)c3C)CCCCC1)CC2, Score: tensor([0.7543]) 
Step: add fragment, Previous ligand: [3*]Oc1ncnc2c1CN(C1(c3cccc(F)c3C)CCCCC1)CC2, New ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)C[C@@H]1[15*], Score: tensor([0.7773]) 
Step: add fragment, Previous ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)C[C@@H]1[15*], New ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)C[C@H]1N1CCC([15*])CC1, Score: tensor([0.7282]) 
Step: remove fragment, Previous ligand: [13*][C@H]1O[C@@H](Oc2ncnc3c2CN(C2(c4cccc(F)c4C)CCCCC2)CC3)C[C@H]1N1CCC([15*])CC1, New ligand: [5*]N1CCc2ncnc(O[C@H]3C[C@@H](N4CCC([15*])CC4)[C@@H]([13*])O3)c2C1, Score: tensor([0.7961]) 
Step: remove fragment, Previous ligand: [5*]N1CCc2ncnc(O[C@H]3C[C@@H](N4CCC([15*])CC4)[C@@H]([13*])O3)c2C1, New ligand: [5*]N1CCc2ncnc(O[C@H]3C[C@@H](N4CCC([15*])CC4)[C@@H]([13*])O3)c2C1, Score: tensor([0.7961]) 
