Molecule: ./Bromo/rand_n10 
Step: remove fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)C(C)(C)C([8*])[8*], Score: tensor([0.5186]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])[8*], New ligand: [1*]C(=O)C(C)(C)C([8*])c1ccc(S([12*])(=O)=O)cc1, Score: tensor([0.6230]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])c1ccc(S([12*])(=O)=O)cc1, New ligand: [1*]C(=O)C(C)(C)C([8*])c1ccc(S(=O)(=O)N(C)C)cc1, Score: tensor([0.6479]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C([8*])c1ccc(S(=O)(=O)N(C)C)cc1, New ligand: [1*]C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@@H]1C, Score: tensor([0.8012]) 
Step: add fragment, Previous ligand: [1*]C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@@H]1C, New ligand: [5*]N(C)C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@@H]1C, Score: tensor([0.8123]) 
Step: add fragment, Previous ligand: [5*]N(C)C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@@]([15*])(O)[C@H](C)O2)C[C@@H]1C, New ligand: [5*]N(C)C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@@H]1C, Score: tensor([0.7100]) 
Step: add fragment, Previous ligand: [5*]N(C)C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@]([13*])([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@@H]1C, New ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, Score: tensor([0.7304]) 
Step: add fragment, Previous ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, New ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, Score: tensor([0.7304]) 
Step: remove fragment, Previous ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, New ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, Score: tensor([0.7304]) 
Step: add fragment, Previous ligand: [13*][C@@]1([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)C[C@H](C)[C@@H](C(c2ccc(S(=O)(=O)N(C)C)cc2)C(C)(C)C(=O)N(C)C2CCCO2)O1, New ligand: C[C@@H]1O[C@@H]([C@]2(N3CCCC3=O)C[C@H](C)[C@@H](C(c3ccc(S(=O)(=O)N(C)C)cc3)C(C)(C)C(=O)N(C)C3CCCO3)O2)CC[C@]1(O)C1CCCO1, Score: tensor([0.7054]) 
Step: remove fragment, Previous ligand: C[C@@H]1O[C@@H]([C@]2(N3CCCC3=O)C[C@H](C)[C@@H](C(c3ccc(S(=O)(=O)N(C)C)cc3)C(C)(C)C(=O)N(C)C3CCCO3)O2)CC[C@]1(O)C1CCCO1, New ligand: [1*]C(=O)C(C)(C)C(c1ccc(S(=O)(=O)N(C)C)cc1)[C@H]1O[C@@]([C@H]2CC[C@](O)(C3CCCO3)[C@H](C)O2)(N2CCCC2=O)C[C@@H]1C, Score: tensor([0.6238]) 
