Molecule: ./Bromo/specific_frags_2.txt 
Step: add fragment, Previous ligand: [1*]C(C)=O, New ligand: [9*]n1cc([16*])c2sc(C(=[NH2+])NC(C)=O)cc2c1=O, Score: tensor([0.8811]) 
Step: remove fragment, Previous ligand: [9*]n1cc([16*])c2sc(C(=[NH2+])NC(C)=O)cc2c1=O, New ligand: [9*]n1cc([16*])c2sc(C(=[NH2+])NC(C)=O)cc2c1=O, Score: tensor([0.8811]) 
Step: add fragment, Previous ligand: [9*]n1cc([16*])c2sc(C(=[NH2+])NC(C)=O)cc2c1=O, New ligand: [16*]c1cccc2c(=O)cc(-n3cc([16*])c4sc(C(=[NH2+])NC(C)=O)cc4c3=O)oc12, Score: tensor([0.8118]) 
Step: add fragment, Previous ligand: [16*]c1cccc2c(=O)cc(-n3cc([16*])c4sc(C(=[NH2+])NC(C)=O)cc4c3=O)oc12, New ligand: [12*]S(=O)(=O)c1cc(-c2cn(-c3cc(=O)c4cccc([16*])c4o3)c(=O)c3cc(C(=[NH2+])NC(C)=O)sc23)ccc1C, Score: tensor([0.7909]) 
Step: add fragment, Previous ligand: [12*]S(=O)(=O)c1cc(-c2cn(-c3cc(=O)c4cccc([16*])c4o3)c(=O)c3cc(C(=[NH2+])NC(C)=O)sc23)ccc1C, New ligand: [14*]c1ncc2c(n1)N(S(=O)(=O)c1cc(-c3cn(-c4cc(=O)c5cccc([16*])c5o4)c(=O)c4cc(C(=[NH2+])NC(C)=O)sc34)ccc1C)c1ccccc1C(=O)N2C, Score: tensor([0.7854]) 
Step: remove fragment, Previous ligand: [14*]c1ncc2c(n1)N(S(=O)(=O)c1cc(-c3cn(-c4cc(=O)c5cccc([16*])c5o4)c(=O)c4cc(C(=[NH2+])NC(C)=O)sc34)ccc1C)c1ccccc1C(=O)N2C, New ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc([14*])nc21, Score: tensor([0.8591]) 
Step: add fragment, Previous ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc([14*])nc21, New ligand: [14*]c1ncc2c(n1)N(c1nc3c([16*])cc([16*])cc3[nH]1)c1ccccc1C(=O)N2C, Score: tensor([0.8716]) 
Step: add fragment, Previous ligand: [14*]c1ncc2c(n1)N(c1nc3c([16*])cc([16*])cc3[nH]1)c1ccccc1C(=O)N2C, New ligand: [14*]c1ncc2c(n1)N(c1nc3c(N4CC(=O)Nc5ccccc54)cc([16*])cc3[nH]1)c1ccccc1C(=O)N2C, Score: tensor([0.7900]) 
Step: add fragment, Previous ligand: [14*]c1ncc2c(n1)N(c1nc3c(N4CC(=O)Nc5ccccc54)cc([16*])cc3[nH]1)c1ccccc1C(=O)N2C, New ligand: [14*]c1ncc2c(n1)N(c1nc3c(N4CC(=O)Nc5ccccc54)cc(C4CCCCC4)cc3[nH]1)c1ccccc1C(=O)N2C, Score: tensor([0.7788]) 
Step: add fragment, Previous ligand: [14*]c1ncc2c(n1)N(c1nc3c(N4CC(=O)Nc5ccccc54)cc(C4CCCCC4)cc3[nH]1)c1ccccc1C(=O)N2C, New ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@H]1[13*], Score: tensor([0.8351]) 
Step: add fragment, Previous ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@H]1[13*], New ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@@H]1c1nc2cc([16*])cc([16*])c2c(=O)[nH]1, Score: tensor([0.7807]) 
Step: add fragment, Previous ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@@H]1c1nc2cc([16*])cc([16*])c2c(=O)[nH]1, New ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@@H]1c1nc2cc([16*])cc([16*])c2c(=O)[nH]1, Score: tensor([0.7807]) 
Step: remove fragment, Previous ligand: [5*]N1c2nc(-c3ncc4c(n3)N(c3nc5c(N6CC(=O)Nc7ccccc76)cc(C6CCCCC6)cc5[nH]3)c3ccccc3C(=O)N4C)ncc2N(C)C(=O)[C@@H]1c1nc2cc([16*])cc([16*])c2c(=O)[nH]1, New ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc(-c3ncc4c(n3)N([5*])[C@@H](c3nc5cc([16*])cc([16*])c5c(=O)[nH]3)C(=O)N4C)nc21, Score: tensor([0.7646]) 
Step: add fragment, Previous ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc(-c3ncc4c(n3)N([5*])[C@@H](c3nc5cc([16*])cc([16*])c5c(=O)[nH]3)C(=O)N4C)nc21, New ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc(-c3ncc4c(n3)N([5*])[C@@H](c3nc5cc(-c6ccc7c8c(cccc68)C(=O)N7CC)cc([16*])c5c(=O)[nH]3)C(=O)N4C)nc21, Score: tensor([0.7282]) 
Step: add fragment, Previous ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc(-c3ncc4c(n3)N([5*])[C@@H](c3nc5cc(-c6ccc7c8c(cccc68)C(=O)N7CC)cc([16*])c5c(=O)[nH]3)C(=O)N4C)nc21, New ligand: [5*]N1c2ccccc2C(=O)N(C)c2cnc(-c3ncc4c(n3)N([5*])[C@@H](c3nc5cc(-c6ccc7c8c(cccc68)C(=O)N7CC)cc([16*])c5c(=O)[nH]3)C(=O)N4C)nc21, Score: tensor([0.7282]) 
